video_id,start,end,split,surgery_id,phase_id,operation_id
case_0017,94.52,99.31,train,6,33,149
case_0017,99.31,107.6,train,6,9,133
case_0017,107.6,122.48,train,6,9,62
case_0017,122.48,140.96,train,6,24,54
case_0017,140.96,150.36,train,6,9,111
case_0017,150.36,162.24,train,6,9,84
case_0017,162.24,172.64,train,6,9,48
case_0017,172.64,182.24,train,6,24,66
case_0017,182.24,204.92,train,6,9,56
case_0017,204.92,236.24,train,6,9,49
case_0017,236.24,244.64,train,6,13,30
case_0017,244.64,258.08,train,3,2,1
case_0017,258.08,261.8,train,6,20,27
case_0017,261.8,266.32,train,6,13,21
case_0017,266.32,270.4,train,6,16,14
case_0017,270.4,273.88,train,6,19,23
case_0017,273.88,286.4,train,5,3,2
case_0019,0,72.32,val,5,3,2
case_0019,72.32,85.13,val,8,17,25
case_0019,85.13,87.54,val,8,23,37
case_0019,87.27,103.9,val,8,28,68
case_0019,103.9,152.28,val,8,28,70
case_0019,152.28,169.22,val,3,2,1
case_0019,168.94,183,val,8,39,88
case_0019,183,189.8,val,8,19,23
case_0019,189.8,203.34,val,0,6,13
case_0019,203.61,207.78,val,0,6,8
case_0019,207.78,248.09,val,0,7,3
case_0019,248.37,258.6,val,0,1,10
case_0019,258.6,263,val,0,0,0
case_0019,263,270.4,val,0,1,20
case_0019,270.4,295.4,val,0,1,24
case_0019,295.4,426.68,val,0,1,9
case_0019,426.98,528.56,val,0,8,15
case_0019,528.28,529.33,val,2,0,0
case_0019,529.33,551,val,2,4,7
case_0019,551,555.72,val,2,4,6
case_0019,555.72,612.92,val,8,50,102
case_0019,613.59,626.44,val,8,37,67
case_0019,626.44,654,val,8,47,101
case_0019,654,717,val,8,34,61
case_0019,717,734.7,val,8,5,36
case_0019,734.7,756.57,val,0,11,17
case_0019,756.29,768.72,val,0,5,4
case_0019,768.72,775.5,val,5,3,2
case_0020,0,68.28,train,5,3,2
case_0020,70.28,78.74,train,0,6,8
case_0020,78.74,101.39,train,0,10,5
case_0020,101.39,115.6,train,0,0,0
case_0020,115.6,132.14,train,0,6,13
case_0020,132.14,184.54,train,0,7,3
case_0020,184.54,219.5,train,0,1,10
case_0020,219.5,275.36,train,0,1,24
case_0020,275.36,486,train,0,1,9
case_0020,486.12,496.83,train,3,2,1
case_0020,496.83,564.57,train,0,1,46
case_0020,564.57,638.09,train,0,8,12
case_0020,638.09,653.8,train,2,0,0
case_0020,653.8,680.23,train,2,4,7
case_0020,680.23,697.55,train,3,2,1
case_0020,697.55,756.27,train,2,11,17
case_0020,756.27,768.92,train,2,4,6
case_0020,768.92,783.36,train,0,5,4
case_0020,783.36,795.36,train,2,4,6
case_0020,795.36,809.02,train,0,5,4
case_0020,809.02,830.68,train,2,4,6
case_0020,830.68,845.63,train,0,5,4
case_0020,845.63,848.78,train,5,3,2
case_0021,0,128.46,train,5,3,2
case_0021,128.46,143,train,1,17,25
case_0021,143.45,149.5,train,1,23,37
case_0021,149.5,154.04,train,1,15,39
case_0021,154.96,168.13,train,1,15,40
case_0021,168.59,176,train,1,15,34
case_0021,176,179.38,train,1,18,18
case_0021,179.38,185.12,train,1,12,16
case_0021,185.12,190.79,train,1,12,26
case_0021,190.79,209.18,train,1,0,0
case_0021,209.18,215.42,train,1,6,8
case_0021,215.42,254.5,train,1,7,3
case_0021,254.5,272.07,train,1,1,10
case_0021,272.07,290.62,train,1,15,34
case_0021,290.62,321.25,train,1,1,38
case_0021,321.25,326.63,train,1,1,32
case_0021,326.63,334.75,train,1,8,12
case_0021,334.75,372.14,train,1,5,69
case_0021,372.14,389.74,train,2,29,47
case_0021,389.74,394.5,train,1,5,4
case_0021,394.5,398.53,train,3,2,1
case_0021,398.53,414.5,train,1,1,10
case_0021,414.5,426.29,train,1,15,34
case_0021,426.29,467.5,train,1,1,38
case_0021,467.5,477.01,train,1,1,32
case_0021,477.01,480,train,1,0,0
case_0021,480,486.45,train,1,16,14
case_0021,486.45,497.7,train,1,5,90
case_0024,0,45.73,train,5,3,2
case_0024,45.73,49.24,train,0,6,8
case_0024,49.24,51.04,train,0,12,16
case_0024,51.04,52.72,train,0,12,26
case_0024,52.72,55.13,train,0,0,0
case_0024,55.13,60.47,train,0,6,41
case_0024,60.47,62.75,train,0,0,0
case_0024,62.75,89.03,train,0,7,3
case_0024,89.03,100.22,train,0,1,132
case_0024,100.22,102.42,train,0,0,0
case_0024,102.42,105.12,train,0,7,42
case_0024,105.12,115.56,train,0,7,3
case_0024,115.56,118.13,train,0,0,0
case_0024,118.13,121.93,train,0,1,132
case_0024,121.93,125.43,train,5,3,2
case_0024,125.43,142.52,train,0,1,28
case_0024,142.52,162.38,train,5,3,2
case_0024,162.38,182.88,train,0,1,28
case_0024,182.88,189.54,train,5,3,2
case_0024,189.54,215.46,train,0,1,28
case_0024,215.46,223.74,train,5,3,2
case_0024,223.74,243.58,train,0,1,29
case_0024,243.58,257.27,train,0,1,9
case_0024,257.27,286.03,train,5,3,2
case_0024,286.03,339.98,train,0,1,9
case_0024,339.98,342.36,train,0,0,0
case_0024,342.36,394.53,train,0,1,9
case_0024,394.53,401,train,0,10,5
case_0024,401,402.37,train,0,0,0
case_0024,402.37,411.29,train,0,8,15
case_0024,411.29,412.87,train,2,0,0
case_0024,412.87,415.93,train,2,4,7
case_0024,415.93,423.49,train,2,4,6
case_0024,423.49,432.43,train,2,11,22
case_0024,432.43,436.72,train,0,5,4
case_0026,0,15.16,train,5,3,2
case_0026,15.16,24.27,train,1,17,25
case_0026,24.27,29,train,1,16,14
case_0026,29,41.35,train,5,3,2
case_0026,41.35,56.8,train,1,16,14
case_0026,56.8,62,train,1,15,39
case_0026,62.36,67.73,train,1,21,35
case_0026,67.73,71.72,train,1,15,39
case_0026,71.72,76.76,train,3,2,1
case_0026,76.76,128.15,train,1,15,40
case_0026,128.15,134.25,train,1,6,8
case_0026,134.5,135.28,train,1,18,18
case_0026,135.28,137.4,train,1,12,16
case_0026,137.4,138.8,train,1,12,26
case_0026,138.8,142.8,train,1,0,0
case_0026,142.8,157.06,train,1,7,3
case_0026,157.06,163,train,1,0,0
case_0026,163,188.22,train,1,15,34
case_0026,188.22,191.74,train,1,1,10
case_0026,191.74,200.54,train,1,1,20
case_0026,200.54,206.12,train,1,0,0
case_0026,206.12,221.03,train,1,1,38
case_0026,221.03,233.35,train,1,0,0
case_0026,233.35,260.95,train,1,1,93
case_0026,260.95,276.03,train,1,0,0
case_0026,276.03,285.56,train,1,1,32
case_0026,285.56,288.35,train,1,0,0
case_0026,288.85,293.32,train,1,1,32
case_0026,293.32,298.6,train,1,0,0
case_0026,298.6,310.37,train,1,8,15
case_0026,310.37,314.35,train,2,10,5
case_0026,314.35,317.37,train,2,0,0
case_0026,317.37,320.69,train,2,4,7
case_0026,320.69,323.49,train,2,4,6
case_0026,323.49,331.09,train,2,10,5
case_0026,331.09,335.05,train,1,5,4
case_0026,335.05,337.29,train,1,5,19
case_0026,337.29,346.41,train,1,5,36
case_0026,346.41,347.29,train,1,5,4
case_0026,347.29,429.75,train,5,3,2
case_0028,0,7.48,test,5,3,2
case_0028,7.48,20.59,test,1,15,39
case_0028,20.59,53,test,1,15,40
case_0028,53,70.47,test,1,7,58
case_0028,70.47,84.85,test,1,6,73
case_0028,84.85,98.6,test,1,1,32
case_0028,98.6,102.9,test,1,8,12
case_0028,102.9,108.7,test,2,4,7
case_0028,108.7,114.55,test,2,4,6
case_0028,114.55,124,test,1,5,44
case_0028,124,139.61,test,2,29,47
case_0028,139.61,147.84,test,3,2,1
case_0031,0,8.24,train,5,3,2
case_0031,8.24,16.13,train,0,6,8
case_0031,16.13,17.72,train,0,18,18
case_0031,17.72,20.33,train,0,12,16
case_0031,20.33,28.31,train,0,12,26
case_0031,28.31,37.14,train,0,0,0
case_0031,37.14,39.46,train,0,14,11
case_0031,39.46,52.49,train,0,6,41
case_0031,52.49,54.83,train,0,0,0
case_0031,54.83,80.93,train,0,7,3
case_0031,80.93,85.23,train,0,0,0
case_0031,85.23,96.11,train,0,1,10
case_0031,96.11,99.84,train,0,1,20
case_0031,99.84,110.28,train,0,1,28
case_0031,110.28,115.93,train,3,2,1
case_0031,115.93,130.21,train,0,1,28
case_0031,130.21,135.11,train,3,2,1
case_0031,135.11,170.06,train,0,1,28
case_0031,170.06,183.33,train,0,1,29
case_0031,183.33,275.81,train,0,1,9
case_0031,275.81,284.16,train,0,0,0
case_0031,284.16,397.93,train,0,1,9
case_0031,397.93,405.93,train,0,8,15
case_0031,405.93,413.18,train,2,4,7
case_0031,413.18,419.3,train,2,4,6
case_0036,0,2.97,train,5,3,2
case_0036,2.97,10.07,train,0,6,8
case_0036,10.07,15.47,train,0,18,18
case_0036,15.47,20.89,train,0,12,16
case_0036,20.89,26.09,train,0,0,0
case_0036,26.09,30.04,train,0,14,11
case_0036,30.04,40.05,train,0,6,13
case_0036,40.05,44.88,train,0,0,0
case_0036,44.88,47.31,train,0,14,11
case_0036,47.31,73.31,train,0,7,3
case_0036,73.31,84.96,train,0,1,10
case_0036,84.96,88.97,train,0,0,0
case_0036,88.97,91.27,train,0,14,11
case_0036,91.27,95.8,train,0,1,20
case_0036,95.8,139.54,train,0,1,28
case_0036,139.54,144.47,train,0,1,29
case_0036,144.47,237.83,train,0,1,9
case_0036,237.83,319.66,train,0,8,15
case_0036,319.66,343.29,train,0,8,50
case_0036,343.29,353.97,train,2,4,7
case_0036,353.97,379.05,train,2,11,22
case_0036,379.05,407.33,train,0,5,4
case_0036,407.33,412.04,train,0,5,19
case_0038,0,88,val,5,3,2
case_0038,88,111.66,val,0,6,8
case_0038,111.66,116.12,val,0,18,18
case_0038,116.12,119.68,val,0,12,16
case_0038,119.68,126.76,val,0,0,0
case_0038,126.76,153.32,val,0,6,41
case_0038,153.32,171.03,val,0,7,3
case_0038,171.03,192.7,val,0,1,10
case_0038,192.7,195,val,0,0,0
case_0038,195,206.46,val,0,1,20
case_0038,206.46,262.94,val,0,1,28
case_0038,262.94,263.86,val,0,1,29
case_0038,263.86,348,val,0,1,9
case_0038,348,352.7,val,0,0,0
case_0038,352.7,422.33,val,0,1,9
case_0038,422.33,425.03,val,0,0,0
case_0038,425.03,430.36,val,0,6,8
case_0038,430.36,436.36,val,0,6,81
case_0038,436.36,452.98,val,0,8,15
case_0038,452.98,472.96,val,0,10,5
case_0038,472.96,480,val,0,0,0
case_0038,480,484.42,val,2,4,7
case_0038,484.42,490.6,val,2,4,6
case_0038,490.6,525.69,val,2,11,22
case_0038,525.69,533.5,val,0,5,4
case_0038,533.5,536.36,val,5,3,2
case_0039,0,6.4,train,4,68,170
case_0039,6.68,16.1,train,4,40,89
case_0039,16.2,17.7,train,4,20,27
case_0039,17.7,28.4,train,4,17,25
case_0039,28.4,32.6,train,4,9,31
case_0039,32.7,34.5,train,4,9,84
case_0039,34.6,36.8,train,4,9,59
case_0039,36.8,40.76,train,4,9,33
case_0039,40.76,46,train,4,13,21
case_0039,46,48.8,train,4,9,33
case_0039,49,57.32,train,4,13,21
case_0039,57.32,58.9,train,4,9,33
case_0039,59,66.76,train,4,13,21
case_0039,66.76,70.4,train,4,9,33
case_0039,70.6,73.75,train,4,13,21
case_0039,73.75,77,train,4,9,33
case_0039,77.5,81.88,train,4,13,21
case_0039,81.88,85.8,train,4,9,33
case_0039,85.8,89.88,train,4,13,21
case_0039,89.88,92.8,train,4,13,30
case_0039,92.8,119.5,train,4,13,21
case_0039,119.5,127.68,train,4,56,119
case_0039,127.68,131.12,train,4,9,159
case_0039,131.12,137.8,train,3,2,1
case_0039,137.8,189.5,train,4,13,21
case_0039,189.5,197,train,4,13,51
case_0043,0,3.9,train,0,14,11
case_0043,3.9,11.14,train,0,6,8
case_0043,11.14,15.22,train,0,18,18
case_0043,15.22,19.22,train,0,12,16
case_0043,19.22,23,train,0,0,0
case_0043,23,24.59,train,0,14,11
case_0043,24.59,30.3,train,0,6,13
case_0043,30.3,42.98,train,0,0,0
case_0043,42.98,65.73,train,0,7,3
case_0043,65.73,70.14,train,0,0,0
case_0043,70.14,80.56,train,0,7,3
case_0043,81.28,90.4,train,0,0,0
case_0043,90.4,92.34,train,0,14,11
case_0043,92.34,124.3,train,3,2,1
case_0043,124.3,136.08,train,0,7,60
case_0043,136.08,145.16,train,3,2,1
case_0043,145.16,146.79,train,0,0,0
case_0043,146.79,148.16,train,0,14,11
case_0043,148.16,172.85,train,3,2,1
case_0043,172.85,174,train,0,0,0
case_0043,174,175.42,train,0,14,11
case_0043,175.42,195.01,train,3,2,1
case_0043,195.01,203.25,train,0,7,42
case_0043,203.25,205.55,train,0,0,0
case_0043,205.55,213.22,train,0,7,3
case_0043,213.22,218.26,train,3,2,1
case_0043,218.26,223.47,train,0,1,10
case_0043,223.47,226,train,0,0,0
case_0043,226,228.51,train,0,14,11
case_0043,228.51,235.48,train,0,1,20
case_0043,235.48,242.42,train,0,19,23
case_0043,242.42,256.27,train,0,1,24
case_0043,256.27,309.15,train,0,1,9
case_0043,309.15,367.41,train,0,8,15
case_0043,367.41,374.92,train,0,0,0
case_0043,374.92,402.55,train,0,8,50
case_0043,402.55,406.75,train,2,0,0
case_0043,406.75,411.36,train,2,4,7
case_0043,411.36,420.86,train,2,4,6
case_0043,420.86,451.06,train,2,11,22
case_0043,451.06,457.5,train,0,5,4
case_0043,457.5,468.58,train,5,3,2
case_0045,0,6.01,test,5,3,2
case_0045,6.01,15.12,test,0,6,8
case_0045,15.12,19.95,test,0,18,18
case_0045,19.95,24.06,test,0,12,16
case_0045,24.06,32.67,test,0,12,26
case_0045,32.67,38.14,test,0,0,0
case_0045,38.14,40.14,test,0,14,11
case_0045,40.14,42.04,test,0,0,0
case_0045,42.04,49.72,test,3,2,1
case_0045,49.72,55.82,test,0,6,13
case_0045,55.82,68.08,test,0,0,0
case_0045,68.08,82.05,test,3,2,1
case_0045,82.05,151,test,0,26,57
case_0045,151,152.32,test,0,0,0
case_0045,152.32,175.21,test,0,26,57
case_0045,175.21,180.31,test,0,0,0
case_0045,180.31,225,test,0,26,57
case_0045,225,227.29,test,0,0,0
case_0045,227.29,351.52,test,0,26,57
case_0045,351.52,359.93,test,0,14,11
case_0045,359.93,362.5,test,0,0,0
case_0045,362.5,389.36,test,0,7,3
case_0045,389.36,405.56,test,0,1,10
case_0045,405.56,408.11,test,0,0,0
case_0045,408.11,417.75,test,0,1,20
case_0045,417.75,427.36,test,0,1,10
case_0045,427.36,431,test,0,0,0
case_0045,431,433.37,test,0,14,11
case_0045,433.37,441.17,test,0,1,20
case_0045,441.17,450.55,test,0,1,28
case_0045,450.55,452.5,test,0,1,29
case_0045,452.5,468.97,test,0,1,9
case_0045,468.97,473.89,test,0,1,46
case_0045,473.89,504.87,test,0,8,15
case_0045,504.87,509.18,test,2,4,7
case_0045,509.18,528.63,test,2,4,6
case_0045,528.63,533.37,test,2,11,22
case_0045,533.37,540.11,test,3,2,1
case_0045,540.11,571.88,test,0,26,65
case_0045,571.88,577.31,test,3,2,1
case_0045,577.31,580.68,test,2,11,22
case_0045,580.68,587.72,test,3,2,1
case_0045,587.72,593.68,test,0,5,4
case_0045,593.68,599.2,test,0,10,5
case_0045,599.2,602.34,test,0,5,4
case_0045,602.34,605.07,test,0,5,19
case_0045,605.07,613.24,test,5,3,2
case_0051,0,7.34,train,5,3,2
case_0051,7.34,10.54,train,6,6,8
case_0051,10.54,14.35,train,6,18,18
case_0051,14.35,20.12,train,6,9,31
case_0051,20.12,42.68,train,6,9,62
case_0051,42.68,109.9,train,6,24,54
case_0051,109.99,123.5,train,6,9,48
case_0051,123.5,128.5,train,6,24,66
case_0051,128.5,140.4,train,6,9,56
case_0051,140.44,157.6,train,6,9,49
case_0051,157.6,175.7,train,3,2,1
case_0051,175.7,186.5,train,6,22,110
case_0051,186.5,189.76,train,6,16,14
case_0051,189.76,221.8,train,6,22,87
case_0051,221.8,229,train,6,16,14
case_0051,229,243.14,train,6,13,21
case_0051,243.14,249.22,train,3,2,1
case_0051,249.22,255.49,train,5,3,2
case_0052,0,55.42,train,5,3,2
case_0052,55.42,63.48,train,0,6,8
case_0052,63.48,69.98,train,0,12,16
case_0052,69.98,77.68,train,0,12,26
case_0052,77.68,91.02,train,0,0,0
case_0052,91.02,103.44,train,3,2,1
case_0052,103.44,112.94,train,0,6,13
case_0052,112.94,119,train,3,2,1
case_0052,119,177.24,train,0,7,3
case_0052,177.24,202.54,train,0,1,10
case_0052,202.54,208.98,train,0,0,0
case_0052,208.98,244.34,train,0,1,137
case_0052,244.34,262.06,train,3,2,1
case_0052,262.06,334.78,train,0,1,9
case_0052,334.78,422.94,train,0,1,46
case_0052,422.94,445,train,0,8,15
case_0052,445,455.02,train,2,0,0
case_0052,455.02,476.54,train,2,4,7
case_0052,476.54,497.16,train,2,11,22
case_0052,497.16,511.6,train,0,5,4
case_0052,511.6,514.1,train,5,3,2
case_0057,0,6.87,train,5,3,2
case_0057,6.87,26.33,train,0,6,13
case_0057,26.33,74.5,train,0,6,8
case_0057,74.5,212.77,train,0,26,57
case_0057,212.77,219.17,train,0,0,0
case_0057,219.17,272,train,0,26,57
case_0057,272,274.93,train,0,0,0
case_0057,274.93,281.1,train,0,7,3
case_0057,281.1,286.27,train,0,1,24
case_0057,286.27,290.3,train,0,8,12
case_0057,290.3,294.72,train,2,4,7
case_0057,294.72,345.72,train,0,26,65
case_0057,345.72,351.7,train,2,11,17
case_0057,351.7,358.96,train,5,3,2
case_0060,0,12,train,5,3,2
case_0060,12,93.32,train,0,7,134
case_0060,93.32,106.97,train,0,1,10
case_0060,106.97,169.04,train,0,1,24
case_0060,169.04,217.85,train,2,4,6
case_0060,217.85,222.12,train,3,2,1
case_0064,0,9.35,val,5,3,2
case_0064,9.44,14.78,val,1,6,8
case_0064,15.55,20.18,val,1,18,18
case_0064,20.18,29.26,val,1,0,0
case_0064,29.26,33.41,val,1,12,16
case_0064,33.5,54.86,val,1,17,25
case_0064,54.95,64.97,val,1,23,37
case_0064,64.97,75.41,val,1,15,39
case_0064,75.41,88.4,val,1,15,40
case_0064,88.66,93.82,val,1,15,34
case_0064,94,108.85,val,1,7,3
case_0064,109.18,114.15,val,1,1,10
case_0064,114.15,124.12,val,1,1,38
case_0064,124.12,132.63,val,1,15,157
case_0064,132.63,139.94,val,1,1,32
case_0064,139.85,147.45,val,1,5,69
case_0064,147.45,156.96,val,1,8,12
case_0064,157.11,174.83,val,2,4,7
case_0064,174.83,188.22,val,2,4,6
case_0064,188.22,208.61,val,1,5,69
case_0064,208.61,216.18,val,1,5,4
case_0064,216.18,229.6,val,1,5,76
case_0064,229.21,242.53,val,1,5,36
case_0066,0,21.33,test,5,3,2
case_0066,21.33,34.39,test,0,6,8
case_0066,34.39,39.96,test,0,18,18
case_0066,39.96,48.38,test,0,12,16
case_0066,48.38,66.88,test,3,2,1
case_0066,66.88,72.44,test,0,0,0
case_0066,72.44,75.84,test,0,14,11
case_0066,75.84,84.15,test,3,2,1
case_0066,84.15,96.31,test,0,6,13
case_0066,96.31,103.49,test,0,0,0
case_0066,103.49,105.33,test,0,14,11
case_0066,105.33,123.29,test,3,2,1
case_0066,123.29,139.7,test,0,7,3
case_0066,139.7,146.97,test,0,0,0
case_0066,146.97,159.88,test,0,7,3
case_0066,159.88,173.97,test,0,1,10
case_0066,173.97,178.95,test,0,0,0
case_0066,178.95,207.03,test,3,2,1
case_0066,207.03,211.07,test,0,1,20
case_0066,211.07,276.55,test,0,1,24
case_0066,276.55,302.95,test,0,1,9
case_0066,302.95,311.18,test,0,0,0
case_0066,311.18,373.25,test,0,1,9
case_0066,373.25,382.3,test,3,2,1
case_0066,382.3,435.85,test,0,8,15
case_0066,435.85,470.47,test,0,8,50
case_0066,470.47,478.39,test,2,4,7
case_0066,478.39,492.2,test,2,4,6
case_0066,492.2,499.78,test,2,11,22
case_0066,499.78,524.29,test,0,5,4
case_0066,524.29,527.09,test,0,5,19
case_0069,0,16.16,train,5,3,2
case_0069,16.16,29,train,6,20,27
case_0069,29,42,train,6,9,31
case_0069,42,50.16,train,6,24,165
case_0069,50.16,82,train,6,24,54
case_0069,82,90.5,train,6,6,8
case_0069,90.5,104.64,train,6,9,52
case_0069,104.64,115.12,train,6,24,66
case_0069,115.12,152,train,6,9,56
case_0069,152,173.04,train,6,9,49
case_0069,173.04,175.6,train,6,22,110
case_0069,175.6,183,train,6,22,87
case_0069,183,189.8,train,6,13,30
case_0069,189.8,302.44,train,6,13,21
case_0069,302.44,317.24,train,6,5,19
case_0069,317.24,369.32,train,5,3,2
case_0070,0,16.42,train,1,17,25
case_0070,16.42,46.42,train,1,23,37
case_0070,46.42,77.6,train,1,15,39
case_0070,77.6,177.03,train,1,15,40
case_0070,177.03,185.52,train,1,6,8
case_0070,185.52,195.52,train,1,18,18
case_0070,195.52,203.44,train,1,12,16
case_0070,203.44,214.76,train,1,12,26
case_0070,214.76,227.4,train,1,0,0
case_0070,227.4,236.92,train,1,6,8
case_0070,236.92,278.86,train,1,15,34
case_0070,278.86,291.44,train,1,0,0
case_0070,291.44,334.14,train,1,7,3
case_0070,334.14,360.8,train,1,1,10
case_0070,360.8,376.76,train,1,0,0
case_0070,376.76,383.52,train,1,1,38
case_0070,383.52,391.44,train,1,0,0
case_0070,391.44,416.96,train,1,1,32
case_0070,416.96,428.36,train,1,8,12
case_0070,428.36,460.11,train,1,0,0
case_0070,460.11,509.78,train,1,8,12
case_0070,509.78,535.4,train,2,4,7
case_0070,535.4,546.19,train,2,4,6
case_0070,546.19,557.4,train,2,10,5
case_0070,557.4,567.56,train,1,5,4
case_0070,567.56,581.36,train,3,2,1
case_0070,581.36,614.78,train,2,29,47
case_0070,614.78,626.88,train,1,16,14
case_0070,626.88,644.36,train,1,21,35
case_0070,644.36,649.2,train,1,30,79
case_0070,649.2,678.79,train,3,2,1
case_0071,0,10.16,train,5,3,2
case_0071,10.16,18.8,train,0,6,13
case_0071,18.8,24.36,train,0,0,0
case_0071,24.36,51.2,train,0,7,3
case_0071,51.2,62.64,train,0,1,10
case_0071,62.64,73.8,train,3,2,1
case_0071,73.8,111,train,0,1,28
case_0071,111,114.92,train,0,0,0
case_0071,114.92,125.64,train,0,1,29
case_0071,125.64,153.16,train,0,1,9
case_0071,153.16,162,train,0,1,46
case_0071,162,196.66,train,0,8,12
case_0071,196.66,208.4,train,2,0,0
case_0071,208.4,215.66,train,3,2,1
case_0071,215.66,226.72,train,2,4,7
case_0071,226.72,238.28,train,2,4,6
case_0071,238.5,252.44,train,2,11,17
case_0071,252.44,277.48,train,0,5,4
case_0077,0,19.5,test,5,3,2
case_0077,19.5,38.1,test,0,6,8
case_0077,38.1,45.5,test,0,12,16
case_0077,45.5,50.3,test,0,12,26
case_0077,50.3,56.57,test,0,0,0
case_0077,56.57,78,test,0,6,41
case_0077,56.57,65,test,0,6,13
case_0077,65,104.75,test,0,7,3
case_0077,104.75,115.12,test,0,1,20
case_0077,115.12,118.36,test,0,0,0
case_0077,118.36,125.66,test,0,1,9
case_0077,125.66,139.02,test,0,1,28
case_0077,139.02,148.7,test,0,1,29
case_0077,148.7,239,test,0,1,9
case_0077,239.14,247.4,test,0,0,0
case_0077,247.4,276.46,test,0,8,12
case_0077,276.46,277.5,test,2,0,0
case_0077,277.5,291.9,test,2,4,7
case_0077,291.9,297.1,test,2,11,17
case_0077,298.1,313.45,test,0,8,50
case_0077,314,319.4,test,0,5,4
case_0078,0,1.97,val,0,6,8
case_0078,1.97,7.14,val,3,2,1
case_0078,7.14,12.75,val,0,10,5
case_0078,12.75,24.89,val,0,0,0
case_0078,24.89,38.2,val,0,6,13
case_0078,38.2,68.48,val,0,7,3
case_0078,68.48,82.75,val,0,1,10
case_0078,82.75,87.75,val,0,0,0
