video_id,start,end,split,surgery_id,phase_id,operation_id,segment_path
case_0013,30.54,35.58,train,0,12,16,./OphNet_trimmed_videos/case_0013/case_0013_4.mp4
case_0013,35.58,41.35,train,0,0,0,./OphNet_trimmed_videos/case_0013/case_0013_5.mp4
case_0013,41.35,43.44,train,0,14,11,./OphNet_trimmed_videos/case_0013/case_0013_6.mp4
case_0013,43.44,54.43,train,0,6,13,./OphNet_trimmed_videos/case_0013/case_0013_7.mp4
case_0013,54.43,59.03,train,0,0,0,./OphNet_trimmed_videos/case_0013/case_0013_8.mp4
case_0013,59.03,60.58,train,0,14,11,./OphNet_trimmed_videos/case_0013/case_0013_9.mp4
case_0013,60.58,88.75,train,0,7,3,./OphNet_trimmed_videos/case_0013/case_0013_10.mp4
case_0013,88.75,100,train,0,1,10,./OphNet_trimmed_videos/case_0013/case_0013_11.mp4
case_0013,100,104.15,train,0,0,0,./OphNet_trimmed_videos/case_0013/case_0013_12.mp4
case_0013,104.15,106.37,train,0,14,11,./OphNet_trimmed_videos/case_0013/case_0013_13.mp4
case_0013,106.37,112.8,train,0,1,20,./OphNet_trimmed_videos/case_0013/case_0013_14.mp4
case_0013,112.8,149.34,train,0,1,24,./OphNet_trimmed_videos/case_0013/case_0013_15.mp4
case_0013,149.34,198.38,train,0,1,9,./OphNet_trimmed_videos/case_0013/case_0013_16.mp4
case_0013,198.38,212.35,train,3,2,1,./OphNet_trimmed_videos/case_0013/case_0013_17.mp4
case_0013,212.35,252.23,train,0,8,15,./OphNet_trimmed_videos/case_0013/case_0013_18.mp4
case_0013,252.23,262.83,train,2,4,7,./OphNet_trimmed_videos/case_0013/case_0013_19.mp4
case_0013,262.83,276.86,train,2,11,22,./OphNet_trimmed_videos/case_0013/case_0013_20.mp4
case_0013,276.86,291.8,train,0,5,4,./OphNet_trimmed_videos/case_0013/case_0013_21.mp4
case_0015,0,9.24,train,5,3,2,./OphNet_trimmed_videos/case_0015/case_0015_0.mp4
case_0015,9.29,10.26,train,0,0,0,./OphNet_trimmed_videos/case_0015/case_0015_1.mp4
case_0015,10.26,23.27,train,3,2,1,./OphNet_trimmed_videos/case_0015/case_0015_2.mp4
case_0015,23.27,38.4,train,0,6,13,./OphNet_trimmed_videos/case_0015/case_0015_3.mp4
case_0015,38.4,70.88,train,0,7,3,./OphNet_trimmed_videos/case_0015/case_0015_4.mp4
case_0015,70.88,197.28,train,0,1,28,./OphNet_trimmed_videos/case_0015/case_0015_5.mp4
case_0015,197.28,211.28,train,0,8,12,./OphNet_trimmed_videos/case_0015/case_0015_6.mp4
case_0015,211.28,221.76,train,0,8,43,./OphNet_trimmed_videos/case_0015/case_0015_7.mp4
case_0015,221.76,237.28,train,3,2,1,./OphNet_trimmed_videos/case_0015/case_0015_8.mp4
case_0015,237.61,243.84,train,2,0,0,./OphNet_trimmed_videos/case_0015/case_0015_9.mp4
case_0015,243.84,252.28,train,2,4,7,./OphNet_trimmed_videos/case_0015/case_0015_10.mp4
case_0015,252.28,260,train,2,4,6,./OphNet_trimmed_videos/case_0015/case_0015_11.mp4
case_0015,260,270,train,3,2,1,./OphNet_trimmed_videos/case_0015/case_0015_12.mp4
case_0015,270,271.36,train,0,11,17,./OphNet_trimmed_videos/case_0015/case_0015_13.mp4
case_0015,271.87,277.68,train,0,5,4,./OphNet_trimmed_videos/case_0015/case_0015_14.mp4
case_0015,277.68,285.98,train,3,2,1,./OphNet_trimmed_videos/case_0015/case_0015_15.mp4
case_0017,0,6.08,train,5,3,2,./OphNet_trimmed_videos/case_0017/case_0017_0.mp4
case_0017,6.08,18.16,train,3,2,1,./OphNet_trimmed_videos/case_0017/case_0017_1.mp4
case_0017,18.16,41.84,train,6,51,106,./OphNet_trimmed_videos/case_0017/case_0017_2.mp4
case_0017,41.84,65.52,train,6,51,106,./OphNet_trimmed_videos/case_0017/case_0017_3.mp4
case_0017,65.52,71.44,train,5,3,2,./OphNet_trimmed_videos/case_0017/case_0017_4.mp4
case_0017,71.44,75.4,train,6,20,27,./OphNet_trimmed_videos/case_0017/case_0017_5.mp4
case_0017,75.4,94.52,train,6,9,62,./OphNet_trimmed_videos/case_0017/case_0017_6.mp4
case_0017,94.52,99.31,train,6,33,106,./OphNet_trimmed_videos/case_0017/case_0017_7.mp4
case_0017,99.31,107.6,train,6,9,106,./OphNet_trimmed_videos/case_0017/case_0017_8.mp4
case_0017,107.6,122.48,train,6,9,62,./OphNet_trimmed_videos/case_0017/case_0017_9.mp4
case_0017,122.48,140.96,train,6,24,54,./OphNet_trimmed_videos/case_0017/case_0017_10.mp4
case_0017,140.96,150.36,train,6,9,106,./OphNet_trimmed_videos/case_0017/case_0017_11.mp4
case_0017,150.36,162.24,train,6,9,84,./OphNet_trimmed_videos/case_0017/case_0017_12.mp4
case_0017,162.24,172.64,train,6,9,48,./OphNet_trimmed_videos/case_0017/case_0017_13.mp4
case_0017,172.64,182.24,train,6,24,66,./OphNet_trimmed_videos/case_0017/case_0017_14.mp4
case_0017,182.24,204.92,train,6,9,56,./OphNet_trimmed_videos/case_0017/case_0017_15.mp4
case_0017,204.92,236.24,train,6,9,49,./OphNet_trimmed_videos/case_0017/case_0017_16.mp4
case_0017,236.24,244.64,train,6,13,30,./OphNet_trimmed_videos/case_0017/case_0017_17.mp4
case_0017,244.64,258.08,train,3,2,1,./OphNet_trimmed_videos/case_0017/case_0017_18.mp4
case_0017,258.08,261.8,train,6,20,27,./OphNet_trimmed_videos/case_0017/case_0017_19.mp4
case_0017,261.8,266.32,train,6,13,21,./OphNet_trimmed_videos/case_0017/case_0017_20.mp4
case_0017,266.32,270.4,train,6,16,14,./OphNet_trimmed_videos/case_0017/case_0017_21.mp4
case_0017,270.4,273.88,train,6,19,23,./OphNet_trimmed_videos/case_0017/case_0017_22.mp4
case_0017,273.88,286.4,train,5,3,2,./OphNet_trimmed_videos/case_0017/case_0017_23.mp4
case_0019,0,72.32,val,5,3,2,./OphNet_trimmed_videos/case_0019/case_0019_0.mp4
case_0019,72.32,85.13,val,8,17,25,./OphNet_trimmed_videos/case_0019/case_0019_1.mp4
case_0019,85.13,87.54,val,8,23,37,./OphNet_trimmed_videos/case_0019/case_0019_2.mp4
case_0019,87.27,103.9,val,8,28,68,./OphNet_trimmed_videos/case_0019/case_0019_3.mp4
case_0019,103.9,152.28,val,8,28,70,./OphNet_trimmed_videos/case_0019/case_0019_4.mp4
case_0019,152.28,169.22,val,3,2,1,./OphNet_trimmed_videos/case_0019/case_0019_5.mp4
case_0019,168.94,183,val,8,39,88,./OphNet_trimmed_videos/case_0019/case_0019_6.mp4
case_0019,183,189.8,val,8,19,23,./OphNet_trimmed_videos/case_0019/case_0019_7.mp4
case_0019,189.8,203.34,val,0,6,13,./OphNet_trimmed_videos/case_0019/case_0019_8.mp4
case_0019,203.61,207.78,val,0,6,8,./OphNet_trimmed_videos/case_0019/case_0019_9.mp4
case_0019,207.78,248.09,val,0,7,3,./OphNet_trimmed_videos/case_0019/case_0019_10.mp4
case_0019,248.37,258.6,val,0,1,10,./OphNet_trimmed_videos/case_0019/case_0019_11.mp4
case_0019,258.6,263,val,0,0,0,./OphNet_trimmed_videos/case_0019/case_0019_12.mp4
case_0019,263,270.4,val,0,1,20,./OphNet_trimmed_videos/case_0019/case_0019_13.mp4
case_0019,270.4,295.4,val,0,1,24,./OphNet_trimmed_videos/case_0019/case_0019_14.mp4
case_0019,295.4,426.68,val,0,1,9,./OphNet_trimmed_videos/case_0019/case_0019_15.mp4
case_0019,426.98,528.56,val,0,8,15,./OphNet_trimmed_videos/case_0019/case_0019_16.mp4
case_0019,528.28,529.33,val,2,0,0,./OphNet_trimmed_videos/case_0019/case_0019_17.mp4
case_0019,529.33,551,val,2,4,7,./OphNet_trimmed_videos/case_0019/case_0019_18.mp4
case_0019,551,555.72,val,2,4,6,./OphNet_trimmed_videos/case_0019/case_0019_19.mp4
case_0019,555.72,612.92,val,8,50,102,./OphNet_trimmed_videos/case_0019/case_0019_20.mp4
case_0019,613.59,626.44,val,8,37,67,./OphNet_trimmed_videos/case_0019/case_0019_21.mp4
case_0019,626.44,654,val,8,47,101,./OphNet_trimmed_videos/case_0019/case_0019_22.mp4
case_0019,654,717,val,8,34,61,./OphNet_trimmed_videos/case_0019/case_0019_23.mp4
case_0019,717,734.7,val,8,5,36,./OphNet_trimmed_videos/case_0019/case_0019_24.mp4
case_0019,734.7,756.57,val,0,11,17,./OphNet_trimmed_videos/case_0019/case_0019_25.mp4
case_0019,756.29,768.72,val,0,5,4,./OphNet_trimmed_videos/case_0019/case_0019_26.mp4
case_0019,768.72,775.5,val,5,3,2,./OphNet_trimmed_videos/case_0019/case_0019_27.mp4
case_0020,0,68.28,train,5,3,2,./OphNet_trimmed_videos/case_0020/case_0020_0.mp4
case_0020,70.28,78.74,train,0,6,8,./OphNet_trimmed_videos/case_0020/case_0020_1.mp4
case_0020,78.74,101.39,train,0,10,5,./OphNet_trimmed_videos/case_0020/case_0020_2.mp4
case_0020,101.39,115.6,train,0,0,0,./OphNet_trimmed_videos/case_0020/case_0020_3.mp4
case_0020,115.6,132.14,train,0,6,13,./OphNet_trimmed_videos/case_0020/case_0020_4.mp4
case_0020,132.14,184.54,train,0,7,3,./OphNet_trimmed_videos/case_0020/case_0020_5.mp4
case_0020,184.54,219.5,train,0,1,10,./OphNet_trimmed_videos/case_0020/case_0020_6.mp4
case_0020,219.5,275.36,train,0,1,24,./OphNet_trimmed_videos/case_0020/case_0020_7.mp4
case_0020,275.36,486,train,0,1,9,./OphNet_trimmed_videos/case_0020/case_0020_8.mp4
case_0020,486.12,496.83,train,3,2,1,./OphNet_trimmed_videos/case_0020/case_0020_9.mp4
case_0020,496.83,564.57,train,0,1,46,./OphNet_trimmed_videos/case_0020/case_0020_10.mp4
case_0020,564.57,638.09,train,0,8,12,./OphNet_trimmed_videos/case_0020/case_0020_11.mp4
case_0020,638.09,653.8,train,2,0,0,./OphNet_trimmed_videos/case_0020/case_0020_12.mp4
case_0020,653.8,680.23,train,2,4,7,./OphNet_trimmed_videos/case_0020/case_0020_13.mp4
case_0020,680.23,697.55,train,3,2,1,./OphNet_trimmed_videos/case_0020/case_0020_14.mp4
case_0020,697.55,756.27,train,2,11,17,./OphNet_trimmed_videos/case_0020/case_0020_15.mp4
case_0020,756.27,768.92,train,2,4,6,./OphNet_trimmed_videos/case_0020/case_0020_16.mp4
case_0020,768.92,783.36,train,0,5,4,./OphNet_trimmed_videos/case_0020/case_0020_17.mp4
case_0020,783.36,795.36,train,2,4,6,./OphNet_trimmed_videos/case_0020/case_0020_18.mp4
case_0020,795.36,809.02,train,0,5,4,./OphNet_trimmed_videos/case_0020/case_0020_19.mp4
case_0020,809.02,830.68,train,2,4,6,./OphNet_trimmed_videos/case_0020/case_0020_20.mp4
case_0020,830.68,845.63,train,0,5,4,./OphNet_trimmed_videos/case_0020/case_0020_21.mp4
case_0020,845.63,848.78,train,5,3,2,./OphNet_trimmed_videos/case_0020/case_0020_22.mp4
case_0021,0,128.46,train,5,3,2,./OphNet_trimmed_videos/case_0021/case_0021_0.mp4
case_0021,128.46,143,train,1,17,25,./OphNet_trimmed_videos/case_0021/case_0021_1.mp4
case_0021,143.45,149.5,train,1,23,37,./OphNet_trimmed_videos/case_0021/case_0021_2.mp4
case_0021,149.5,154.04,train,1,15,39,./OphNet_trimmed_videos/case_0021/case_0021_3.mp4
case_0021,154.96,168.13,train,1,15,40,./OphNet_trimmed_videos/case_0021/case_0021_4.mp4
case_0021,168.59,176,train,1,15,34,./OphNet_trimmed_videos/case_0021/case_0021_5.mp4
case_0021,176,179.38,train,1,18,18,./OphNet_trimmed_videos/case_0021/case_0021_6.mp4
case_0021,179.38,185.12,train,1,12,16,./OphNet_trimmed_videos/case_0021/case_0021_7.mp4
case_0021,185.12,190.79,train,1,12,26,./OphNet_trimmed_videos/case_0021/case_0021_8.mp4
case_0021,190.79,209.18,train,1,0,0,./OphNet_trimmed_videos/case_0021/case_0021_9.mp4
case_0021,209.18,215.42,train,1,6,8,./OphNet_trimmed_videos/case_0021/case_0021_10.mp4
case_0021,215.42,254.5,train,1,7,3,./OphNet_trimmed_videos/case_0021/case_0021_11.mp4
case_0021,254.5,272.07,train,1,1,10,./OphNet_trimmed_videos/case_0021/case_0021_12.mp4
case_0021,272.07,290.62,train,1,15,34,./OphNet_trimmed_videos/case_0021/case_0021_13.mp4
case_0021,290.62,321.25,train,1,1,38,./OphNet_trimmed_videos/case_0021/case_0021_14.mp4
case_0021,321.25,326.63,train,1,1,32,./OphNet_trimmed_videos/case_0021/case_0021_15.mp4
case_0021,326.63,334.75,train,1,8,12,./OphNet_trimmed_videos/case_0021/case_0021_16.mp4
case_0021,334.75,372.14,train,1,5,69,./OphNet_trimmed_videos/case_0021/case_0021_17.mp4
case_0021,372.14,389.74,train,2,29,47,./OphNet_trimmed_videos/case_0021/case_0021_18.mp4
case_0021,389.74,394.5,train,1,5,4,./OphNet_trimmed_videos/case_0021/case_0021_19.mp4
case_0021,394.5,398.53,train,3,2,1,./OphNet_trimmed_videos/case_0021/case_0021_20.mp4
case_0021,398.53,414.5,train,1,1,10,./OphNet_trimmed_videos/case_0021/case_0021_21.mp4
case_0021,414.5,426.29,train,1,15,34,./OphNet_trimmed_videos/case_0021/case_0021_22.mp4
case_0021,426.29,467.5,train,1,1,38,./OphNet_trimmed_videos/case_0021/case_0021_23.mp4
case_0021,467.5,477.01,train,1,1,32,./OphNet_trimmed_videos/case_0021/case_0021_24.mp4
case_0021,477.01,480,train,1,0,0,./OphNet_trimmed_videos/case_0021/case_0021_25.mp4
case_0021,480,486.45,train,1,16,14,./OphNet_trimmed_videos/case_0021/case_0021_26.mp4
case_0021,486.45,497.7,train,1,5,90,./OphNet_trimmed_videos/case_0021/case_0021_27.mp4
case_0024,0,45.73,train,5,3,2,./OphNet_trimmed_videos/case_0024/case_0024_0.mp4
case_0024,45.73,49.24,train,0,6,8,./OphNet_trimmed_videos/case_0024/case_0024_1.mp4
case_0024,49.24,51.04,train,0,12,16,./OphNet_trimmed_videos/case_0024/case_0024_2.mp4
case_0024,51.04,52.72,train,0,12,26,./OphNet_trimmed_videos/case_0024/case_0024_3.mp4
case_0024,52.72,55.13,train,0,0,0,./OphNet_trimmed_videos/case_0024/case_0024_4.mp4
case_0024,55.13,60.47,train,0,6,41,./OphNet_trimmed_videos/case_0024/case_0024_5.mp4
case_0024,60.47,62.75,train,0,0,0,./OphNet_trimmed_videos/case_0024/case_0024_6.mp4
case_0024,62.75,89.03,train,0,7,3,./OphNet_trimmed_videos/case_0024/case_0024_7.mp4
case_0024,89.03,100.22,train,0,1,106,./OphNet_trimmed_videos/case_0024/case_0024_8.mp4
case_0024,100.22,102.42,train,0,0,0,./OphNet_trimmed_videos/case_0024/case_0024_9.mp4
case_0024,102.42,105.12,train,0,7,42,./OphNet_trimmed_videos/case_0024/case_0024_10.mp4
case_0024,105.12,115.56,train,0,7,3,./OphNet_trimmed_videos/case_0024/case_0024_11.mp4
case_0024,115.56,118.13,train,0,0,0,./OphNet_trimmed_videos/case_0024/case_0024_12.mp4
case_0024,118.13,121.93,train,0,1,106,./OphNet_trimmed_videos/case_0024/case_0024_13.mp4
case_0024,121.93,125.43,train,5,3,2,./OphNet_trimmed_videos/case_0024/case_0024_14.mp4
case_0024,125.43,142.52,train,0,1,28,./OphNet_trimmed_videos/case_0024/case_0024_15.mp4
case_0024,142.52,162.38,train,5,3,2,./OphNet_trimmed_videos/case_0024/case_0024_16.mp4
case_0024,162.38,182.88,train,0,1,28,./OphNet_trimmed_videos/case_0024/case_0024_17.mp4
case_0024,182.88,189.54,train,5,3,2,./OphNet_trimmed_videos/case_0024/case_0024_18.mp4
case_0024,189.54,215.46,train,0,1,28,./OphNet_trimmed_videos/case_0024/case_0024_19.mp4
case_0024,215.46,223.74,train,5,3,2,./OphNet_trimmed_videos/case_0024/case_0024_20.mp4
case_0024,223.74,243.58,train,0,1,29,./OphNet_trimmed_videos/case_0024/case_0024_21.mp4
case_0024,243.58,257.27,train,0,1,9,./OphNet_trimmed_videos/case_0024/case_0024_22.mp4
case_0024,257.27,286.03,train,5,3,2,./OphNet_trimmed_videos/case_0024/case_0024_23.mp4
case_0024,286.03,339.98,train,0,1,9,./OphNet_trimmed_videos/case_0024/case_0024_24.mp4
case_0024,339.98,342.36,train,0,0,0,./OphNet_trimmed_videos/case_0024/case_0024_25.mp4
case_0024,342.36,394.53,train,0,1,9,./OphNet_trimmed_videos/case_0024/case_0024_26.mp4
case_0024,394.53,401,train,0,10,5,./OphNet_trimmed_videos/case_0024/case_0024_27.mp4
case_0024,401,402.37,train,0,0,0,./OphNet_trimmed_videos/case_0024/case_0024_28.mp4
case_0024,402.37,411.29,train,0,8,15,./OphNet_trimmed_videos/case_0024/case_0024_29.mp4
case_0024,411.29,412.87,train,2,0,0,./OphNet_trimmed_videos/case_0024/case_0024_30.mp4
case_0024,412.87,415.93,train,2,4,7,./OphNet_trimmed_videos/case_0024/case_0024_31.mp4
case_0024,415.93,423.49,train,2,4,6,./OphNet_trimmed_videos/case_0024/case_0024_32.mp4
case_0024,423.49,432.43,train,2,11,22,./OphNet_trimmed_videos/case_0024/case_0024_33.mp4
case_0024,432.43,436.72,train,0,5,4,./OphNet_trimmed_videos/case_0024/case_0024_34.mp4
case_0026,0,15.16,train,5,3,2,./OphNet_trimmed_videos/case_0026/case_0026_0.mp4
case_0026,15.16,24.27,train,1,17,25,./OphNet_trimmed_videos/case_0026/case_0026_1.mp4
case_0026,24.27,29,train,1,16,14,./OphNet_trimmed_videos/case_0026/case_0026_2.mp4
case_0026,29,41.35,train,5,3,2,./OphNet_trimmed_videos/case_0026/case_0026_3.mp4
case_0026,41.35,56.8,train,1,16,14,./OphNet_trimmed_videos/case_0026/case_0026_4.mp4
case_0026,56.8,62,train,1,15,39,./OphNet_trimmed_videos/case_0026/case_0026_5.mp4
case_0026,62.36,67.73,train,1,21,35,./OphNet_trimmed_videos/case_0026/case_0026_6.mp4
case_0026,67.73,71.72,train,1,15,39,./OphNet_trimmed_videos/case_0026/case_0026_7.mp4
case_0026,71.72,76.76,train,3,2,1,./OphNet_trimmed_videos/case_0026/case_0026_8.mp4
case_0026,76.76,128.15,train,1,15,40,./OphNet_trimmed_videos/case_0026/case_0026_9.mp4
case_0026,128.15,134.25,train,1,6,8,./OphNet_trimmed_videos/case_0026/case_0026_10.mp4
case_0026,134.5,135.28,train,1,18,18,./OphNet_trimmed_videos/case_0026/case_0026_11.mp4
case_0026,135.28,137.4,train,1,12,16,./OphNet_trimmed_videos/case_0026/case_0026_12.mp4
case_0026,137.4,138.8,train,1,12,26,./OphNet_trimmed_videos/case_0026/case_0026_13.mp4
case_0026,138.8,142.8,train,1,0,0,./OphNet_trimmed_videos/case_0026/case_0026_14.mp4
case_0026,142.8,157.06,train,1,7,3,./OphNet_trimmed_videos/case_0026/case_0026_15.mp4
case_0026,157.06,163,train,1,0,0,./OphNet_trimmed_videos/case_0026/case_0026_16.mp4
case_0026,163,188.22,train,1,15,34,./OphNet_trimmed_videos/case_0026/case_0026_17.mp4
case_0026,188.22,191.74,train,1,1,10,./OphNet_trimmed_videos/case_0026/case_0026_18.mp4
case_0026,191.74,200.54,train,1,1,20,./OphNet_trimmed_videos/case_0026/case_0026_19.mp4
case_0026,200.54,206.12,train,1,0,0,./OphNet_trimmed_videos/case_0026/case_0026_20.mp4
case_0026,206.12,221.03,train,1,1,38,./OphNet_trimmed_videos/case_0026/case_0026_21.mp4
case_0026,221.03,233.35,train,1,0,0,./OphNet_trimmed_videos/case_0026/case_0026_22.mp4
case_0026,233.35,260.95,train,1,1,93,./OphNet_trimmed_videos/case_0026/case_0026_23.mp4
case_0026,260.95,276.03,train,1,0,0,./OphNet_trimmed_videos/case_0026/case_0026_24.mp4
case_0026,276.03,285.56,train,1,1,32,./OphNet_trimmed_videos/case_0026/case_0026_25.mp4
case_0026,285.56,288.35,train,1,0,0,./OphNet_trimmed_videos/case_0026/case_0026_26.mp4
case_0026,288.85,293.32,train,1,1,32,./OphNet_trimmed_videos/case_0026/case_0026_27.mp4
case_0026,293.32,298.6,train,1,0,0,./OphNet_trimmed_videos/case_0026/case_0026_28.mp4
case_0026,298.6,310.37,train,1,8,15,./OphNet_trimmed_videos/case_0026/case_0026_29.mp4
case_0026,310.37,314.35,train,2,10,5,./OphNet_trimmed_videos/case_0026/case_0026_30.mp4
case_0026,314.35,317.37,train,2,0,0,./OphNet_trimmed_videos/case_0026/case_0026_31.mp4
case_0026,317.37,320.69,train,2,4,7,./OphNet_trimmed_videos/case_0026/case_0026_32.mp4
case_0026,320.69,323.49,train,2,4,6,./OphNet_trimmed_videos/case_0026/case_0026_33.mp4
case_0026,323.49,331.09,train,2,10,5,./OphNet_trimmed_videos/case_0026/case_0026_34.mp4
case_0026,331.09,335.05,train,1,5,4,./OphNet_trimmed_videos/case_0026/case_0026_35.mp4
case_0026,335.05,337.29,train,1,5,19,./OphNet_trimmed_videos/case_0026/case_0026_36.mp4
case_0026,337.29,346.41,train,1,5,36,./OphNet_trimmed_videos/case_0026/case_0026_37.mp4
case_0026,346.41,347.29,train,1,5,4,./OphNet_trimmed_videos/case_0026/case_0026_38.mp4
case_0026,347.29,429.75,train,5,3,2,./OphNet_trimmed_videos/case_0026/case_0026_39.mp4
case_0028,0,7.48,test,5,3,2,./OphNet_trimmed_videos/case_0028/case_0028_0.mp4
case_0028,7.48,20.59,test,1,15,39,./OphNet_trimmed_videos/case_0028/case_0028_1.mp4
case_0028,20.59,53,test,1,15,40,./OphNet_trimmed_videos/case_0028/case_0028_2.mp4
case_0028,53,70.47,test,1,7,58,./OphNet_trimmed_videos/case_0028/case_0028_3.mp4
case_0028,70.47,84.85,test,1,6,73,./OphNet_trimmed_videos/case_0028/case_0028_4.mp4
case_0028,84.85,98.6,test,1,1,32,./OphNet_trimmed_videos/case_0028/case_0028_5.mp4
case_0028,98.6,102.9,test,1,8,12,./OphNet_trimmed_videos/case_0028/case_0028_6.mp4
